X,  Y
0.00495482, 0.0216591
0.00498522, 0.0217281
0.00499599, 0.0217526
0.00499967, 0.0217609
0.00501609, 0.0217981
0.00503656, 0.0218444
0.00509841, 0.0219841
0.00513735, 0.0220719
0.00515066, 0.0221018
0.00519451, 0.0222003
0.00521284, 0.0222414
0.00525524, 0.0223363
0.00526216, 0.0223518
0.00526421, 0.0223564
0.00530625, 0.0224503
0.00531095, 0.0224607
0.00532065, 0.0224824
0.00532287, 0.0224873
0.00533556, 0.0225156
0.00535562, 0.0225602
0.0053697, 0.0225915
0.0053935, 0.0226444
0.00542974, 0.0227248
0.0054355, 0.0227376
0.0054356, 0.0227378
0.0054369, 0.0227407
0.00544271, 0.0227535
0.00544909, 0.0227676
0.00545711, 0.0227854
0.00549205, 0.0228626
0.00559322, 0.0230854
0.00561536, 0.023134
0.00561826, 0.0231404
0.00562214, 0.0231489
0.00562215, 0.0231489
0.00562867, 0.0231632
0.0056337, 0.0231742
0.00567859, 0.0232725
0.00580518, 0.0235483
0.00583204, 0.0236065
0.00583417, 0.0236112
0.00586732, 0.0236829
0.00590931, 0.0237737
0.00591145, 0.0237783
0.00591419, 0.0237842
0.00591614, 0.0237884
0.00592656, 0.0238109
0.00595265, 0.0238671
0.00595639, 0.0238752
0.00599427, 0.0239566
0.00607052, 0.0241201
0.00607173, 0.0241227
0.00608374, 0.0241483
0.00616386, 0.0243192
0.00617946, 0.0243524
0.00622357, 0.0244461
0.00623128, 0.0244624
0.00626572, 0.0245353
0.00627, 0.0245444
0.00627599, 0.0245571
0.00635931, 0.0247328
0.00639223, 0.024802
0.00640558, 0.0248301
0.00643732, 0.0248966
0.00644095, 0.0249042
0.00653894, 0.0251089
0.00655377, 0.0251397
0.00657713, 0.0251883
0.00662715, 0.0252921
0.00666015, 0.0253604
0.00668463, 0.025411
0.00673173, 0.0255081
0.00677053, 0.0255879
0.0067923, 0.0256326
0.00679827, 0.0256449
0.00681496, 0.0256791
0.00681646, 0.0256821
0.00685686, 0.0257648
0.00685843, 0.025768
0.00690494, 0.0258629
0.00691428, 0.025882
0.00694782, 0.0259502
0.00695429, 0.0259634
0.00697518, 0.0260058
0.006993, 0.026042
0.00701609, 0.0260887
